Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Season
Manchester City,25,38.0,103,656,254,38.7,17.26,6.68,0.15,0.38,17.8,6,8,2017-2018
Manchester Utd,27,38.0,67,509,170,33.4,13.39,4.47,0.13,0.39,18.4,1,3,2017-2018
Newcastle Utd,27,38.0,38,450,146,32.4,11.84,3.84,0.08,0.26,19.2,0,1,2017-2018
Southampton,26,38.0,36,447,136,30.4,11.76,3.58,0.07,0.24,18.1,3,3,2017-2018
Stoke City,30,38.0,34,380,122,32.1,10.0,3.21,0.09,0.28,18.1,0,3,2017-2018
Swansea City,26,38.0,27,338,95,28.1,8.89,2.5,0.08,0.27,18.2,1,1,2017-2018
Tottenham,25,38.0,70,620,209,33.7,16.32,5.5,0.11,0.33,18.4,2,3,2017-2018
Watford,29,38.0,42,434,126,29.0,11.42,3.32,0.09,0.31,17.9,3,6,2017-2018
West Brom,24,38.0,31,377,111,29.4,9.92,2.92,0.08,0.27,17.7,1,1,2017-2018
West Ham,27,38.0,48,368,127,34.5,9.68,3.34,0.13,0.36,18.2,2,4,2017-2018
Arsenal,28,38.0,69,462,159,34.4,12.16,4.18,0.14,0.41,16.7,4,5,2018-2019
Bournemouth,28,38.0,55,437,153,35.0,11.5,4.03,0.11,0.31,17.4,7,9,2018-2019
Brighton,21,38.0,35,364,99,27.2,9.58,2.61,0.08,0.3,17.9,5,6,2018-2019
Burnley,23,38.0,43,358,112,31.3,9.42,2.95,0.11,0.37,15.8,2,2,2018-2019
Cardiff City,25,38.0,33,413,113,27.4,10.87,2.97,0.07,0.27,17.7,3,4,2018-2019
Chelsea,24,38.0,61,602,192,31.9,15.84,5.05,0.09,0.29,17.8,5,5,2018-2019
Crystal Palace,26,38.0,48,482,135,28.0,12.68,3.55,0.08,0.28,18.4,10,11,2018-2019
Everton,23,38.0,53,493,163,33.1,12.97,4.29,0.1,0.31,16.9,2,5,2018-2019
Fulham,28,38.0,33,451,140,31.0,11.87,3.68,0.07,0.22,19.0,2,3,2018-2019
Huddersfield,31,38.0,21,400,116,29.0,10.53,3.05,0.05,0.17,19.1,1,1,2018-2019
Leicester City,25,38.0,48,508,173,34.1,13.37,4.55,0.08,0.25,18.6,5,7,2018-2019
Liverpool,23,38.0,86,568,211,37.1,14.95,5.55,0.14,0.37,17.0,7,7,2018-2019
Manchester City,21,38.0,91,679,252,37.1,17.87,6.63,0.13,0.35,16.9,3,4,2018-2019
Manchester Utd,28,38.0,65,514,210,40.9,13.53,5.53,0.11,0.27,18.7,9,12,2018-2019
Newcastle Utd,24,38.0,41,443,136,30.7,11.66,3.58,0.09,0.29,18.8,1,3,2018-2019
Southampton,30,38.0,44,479,155,32.4,12.61,4.08,0.08,0.26,18.9,4,5,2018-2019
Tottenham,28,38.0,66,533,182,34.1,14.03,4.79,0.12,0.34,18.1,4,4,2018-2019
Watford,25,38.0,51,436,148,33.9,11.47,3.89,0.11,0.34,17.3,1,1,2018-2019
West Ham,26,38.0,51,436,149,34.2,11.47,3.92,0.11,0.31,17.2,5,5,2018-2019
Wolves,21,38.0,46,473,144,30.4,12.45,3.79,0.09,0.29,17.7,4,4,2018-2019
Arsenal,29,38.0,56,403,146,36.2,10.61,3.84,0.13,0.36,16.4,3,3,2019-2020
Aston Villa,28,38.0,40,453,147,32.5,11.92,3.87,0.09,0.27,17.5,1,3,2019-2020
Bournemouth,27,38.0,38,385,117,30.4,10.13,3.08,0.09,0.29,17.3,4,4,2019-2020
Brighton,25,38.0,35,460,139,30.2,12.11,3.66,0.07,0.24,17.6,1,2,2019-2020
Burnley,22,38.0,41,384,124,32.3,10.11,3.26,0.1,0.31,16.4,3,3,2019-2020
Chelsea,27,38.0,69,618,210,34.0,16.26,5.53,0.1,0.3,16.6,7,7,2019-2020
Crystal Palace,25,38.0,29,373,115,30.8,9.82,3.03,0.07,0.23,17.0,3,3,2019-2020
Everton,24,38.0,42,468,159,34.0,12.32,4.18,0.09,0.26,16.4,1,1,2019-2020
Leicester City,24,38.0,65,533,183,34.3,14.03,4.82,0.11,0.33,17.4,5,7,2019-2020
Liverpool,24,38.0,83,586,224,38.2,15.42,5.89,0.13,0.35,16.5,5,5,2019-2020
Manchester City,24,38.0,100,735,250,34.0,19.34,6.58,0.13,0.38,16.4,6,11,2019-2020
Manchester Utd,29,38.0,65,530,201,37.9,13.95,5.29,0.1,0.27,19.1,10,14,2019-2020
Newcastle Utd,28,38.0,38,398,132,33.2,10.47,3.47,0.1,0.29,19.1,0,1,2019-2020
Norwich City,30,38.0,25,407,126,31.0,10.71,3.32,0.06,0.18,18.0,2,2,2019-2020
Sheffield Utd,26,38.0,36,352,109,31.0,9.26,2.87,0.1,0.32,15.2,1,1,2019-2020
Southampton,25,38.0,51,494,171,34.6,13.0,4.5,0.1,0.29,17.8,2,5,2019-2020
Tottenham,29,38.0,56,440,154,35.0,11.58,4.05,0.12,0.34,18.4,3,4,2019-2020
Watford,26,38.0,35,416,112,26.9,10.95,2.95,0.07,0.25,17.3,7,8,2019-2020
West Ham,29,38.0,49,413,156,37.8,10.87,4.11,0.11,0.29,16.4,4,4,2019-2020
Wolves,21,38.0,49,457,142,31.1,12.03,3.74,0.1,0.32,17.4,4,4,2019-2020
Arsenal,29,38.0,53,453,140,30.9,11.92,3.68,0.1,0.34,17.7,6,6,2020-2021
Aston Villa,24,38.0,52,514,178,34.6,13.53,4.68,0.09,0.26,17.3,5,6,2020-2021
Brighton,27,38.0,39,478,134,28.0,12.58,3.53,0.07,0.25,17.4,6,9,2020-2021
Burnley,25,38.0,32,381,124,32.5,10.03,3.26,0.08,0.23,17.4,3,3,2020-2021
Chelsea,27,38.0,56,546,193,35.3,14.37,5.08,0.09,0.25,17.1,8,10,2020-2021
Crystal Palace,24,38.0,39,345,127,36.8,9.08,3.34,0.1,0.28,17.6,3,4,2020-2021
Everton,29,38.0,45,395,143,36.2,10.39,3.76,0.1,0.29,17.2,4,5,2020-2021
Fulham,28,38.0,26,436,125,28.7,11.47,3.29,0.05,0.18,18.3,3,6,2020-2021
Leeds United,23,38.0,60,518,193,37.3,13.63,5.08,0.11,0.29,16.9,4,4,2020-2021
Leicester City,27,38.0,64,473,170,35.9,12.45,4.47,0.11,0.32,18.6,10,12,2020-2021
Liverpool,28,38.0,65,602,204,33.9,15.84,5.37,0.1,0.29,17.1,6,6,2020-2021
Manchester City,24,38.0,82,590,211,35.8,15.53,5.55,0.13,0.36,17.2,5,9,2020-2021
Manchester Utd,29,38.0,70,515,196,38.1,13.55,5.16,0.12,0.31,18.1,10,11,2020-2021
Newcastle Utd,27,38.0,44,390,130,33.3,10.26,3.42,0.1,0.29,18.3,6,7,2020-2021
Sheffield Utd,27,38.0,19,319,92,28.8,8.39,2.42,0.05,0.17,17.7,3,4,2020-2021
Southampton,29,38.0,47,418,157,37.6,11.0,4.13,0.1,0.27,18.6,5,6,2020-2021
Tottenham,24,38.0,66,438,167,38.1,11.53,4.39,0.14,0.37,18.0,5,5,2020-2021
West Brom,30,38.0,33,335,106,31.6,8.82,2.79,0.09,0.27,18.4,4,4,2020-2021
West Ham,24,38.0,60,464,158,34.1,12.21,4.16,0.13,0.37,16.1,2,4,2020-2021
Wolves,27,38.0,34,459,149,32.5,12.08,3.92,0.07,0.2,18.5,4,4,2020-2021
Arsenal,27,38.0,60,581,186,32.0,15.29,4.89,0.09,0.3,17.8,5,8,2021-2022
Aston Villa,31,38.0,50,461,159,34.5,12.13,4.18,0.1,0.3,17.6,3,3,2021-2022
Brentford,29,38.0,46,436,141,32.3,11.47,3.71,0.09,0.28,16.3,6,6,2021-2022
Brighton,26,38.0,40,482,141,29.3,12.68,3.71,0.07,0.26,17.7,4,7,2021-2022
Burnley,23,38.0,32,405,119,29.4,10.66,3.13,0.08,0.26,17.2,1,2,2021-2022
Chelsea,26,38.0,75,583,200,34.3,15.34,5.26,0.11,0.34,17.4,8,9,2021-2022
Crystal Palace,24,38.0,50,404,140,34.7,10.63,3.68,0.11,0.31,16.1,6,8,2021-2022
Everton,33,38.0,42,430,130,30.2,11.32,3.42,0.08,0.28,17.7,6,7,2021-2022
Leeds United,29,38.0,42,480,142,29.6,12.63,3.74,0.08,0.26,18.3,5,5,2021-2022
Leicester City,28,38.0,62,433,164,37.9,11.39,4.32,0.14,0.37,17.8,2,2,2021-2022
Liverpool,27,38.0,94,721,237,32.9,18.97,6.24,0.12,0.37,16.7,7,8,2021-2022
Manchester City,26,38.0,96,704,237,33.7,18.53,6.24,0.13,0.38,16.3,7,9,2021-2022
Manchester Utd,29,38.0,56,503,179,35.6,13.24,4.71,0.11,0.3,17.7,3,5,2021-2022
Newcastle Utd,29,38.0,41,446,142,31.8,11.74,3.74,0.09,0.27,18.1,3,3,2021-2022
Norwich City,28,38.0,21,370,104,28.1,9.74,2.74,0.05,0.17,19.0,3,3,2021-2022
Southampton,25,38.0,41,478,161,33.7,12.58,4.24,0.08,0.23,17.7,4,4,2021-2022
Tottenham,25,38.0,63,486,185,38.1,12.79,4.87,0.12,0.31,16.7,5,5,2021-2022
Watford,30,38.0,33,397,123,31.0,10.45,3.24,0.08,0.26,18.1,1,2,2021-2022
West Ham,25,38.0,58,443,142,32.1,11.66,3.74,0.12,0.38,16.6,4,6,2021-2022
Wolves,26,38.0,35,401,133,33.2,10.55,3.5,0.08,0.26,18.6,1,1,2021-2022
Arsenal,26,38.0,84,589,194,32.9,15.5,5.11,0.14,0.42,16.0,3,4,2022-2023
Aston Villa,26,38.0,49,427,145,34.0,11.24,3.82,0.11,0.32,18.0,3,4,2022-2023
Bournemouth,31,38.0,37,358,126,35.2,9.42,3.32,0.1,0.29,15.5,0,0,2022-2023
Brentford,25,38.0,56,400,147,36.8,10.53,3.87,0.12,0.33,15.7,7,8,2022-2023
Brighton,29,38.0,68,607,219,36.1,15.97,5.76,0.1,0.28,16.8,6,6,2022-2023
Chelsea,32,38.0,37,481,151,31.4,12.66,3.97,0.07,0.23,16.8,3,3,2022-2023
Crystal Palace,26,38.0,38,423,133,31.4,11.13,3.5,0.09,0.28,17.6,1,3,2022-2023
Everton,28,38.0,32,426,143,33.6,11.21,3.76,0.07,0.2,16.8,3,3,2022-2023
Fulham,29,38.0,52,420,137,32.6,11.05,3.61,0.11,0.34,17.3,5,9,2022-2023
Leeds United,29,38.0,45,459,141,30.7,12.08,3.71,0.1,0.31,16.6,1,3,2022-2023
Leicester City,28,38.0,49,412,142,34.5,10.84,3.74,0.11,0.32,17.7,3,6,2022-2023
Liverpool,28,38.0,71,601,203,33.8,15.82,5.34,0.11,0.34,16.2,2,4,2022-2023
Manchester City,24,38.0,92,590,205,34.7,15.53,5.39,0.14,0.4,16.6,9,10,2022-2023
Manchester Utd,26,38.0,56,590,206,34.9,15.53,5.42,0.09,0.26,17.8,3,3,2022-2023
Newcastle Utd,27,38.0,64,565,184,32.6,14.87,4.84,0.1,0.32,15.6,6,6,2022-2023
Nott'ham Forest,33,38.0,36,362,111,30.7,9.53,2.92,0.09,0.3,17.2,3,6,2022-2023
Southampton,36,38.0,36,413,132,32.0,10.87,3.47,0.08,0.26,18.1,2,4,2022-2023
Tottenham,29,38.0,68,512,186,36.3,13.47,4.89,0.12,0.34,16.7,5,6,2022-2023
West Ham,25,38.0,41,466,133,28.5,12.26,3.5,0.08,0.26,17.3,6,8,2022-2023
Wolves,32,38.0,28,409,119,29.1,10.76,3.13,0.06,0.21,18.0,3,3,2022-2023
Arsenal,25,38.0,86,647,209,32.3,17.03,5.5,0.12,0.36,15.8,10,10,2023-2024
Aston Villa,31,38.0,72,511,182,35.6,13.45,4.79,0.13,0.37,16.0,4,4,2023-2024
Bournemouth,30,38.0,52,539,175,32.5,14.18,4.61,0.09,0.29,16.7,2,3,2023-2024
Brentford,28,38.0,54,470,159,33.8,12.37,4.18,0.11,0.32,15.6,3,3,2023-2024
Brighton,30,38.0,50,555,198,35.7,14.61,5.21,0.08,0.23,16.7,5,6,2023-2024
Burnley,31,38.0,40,430,137,31.9,11.32,3.61,0.09,0.27,17.7,3,3,2023-2024
Chelsea,32,38.0,76,537,194,36.1,14.13,5.11,0.12,0.34,17.3,11,12,2023-2024
Crystal Palace,26,38.0,56,452,162,35.8,11.89,4.26,0.12,0.32,17.2,4,4,2023-2024
Everton,26,38.0,40,504,152,30.2,13.26,4.0,0.08,0.25,16.7,2,3,2023-2024
Fulham,25,38.0,54,499,175,35.1,13.13,4.61,0.1,0.3,17.0,2,2,2023-2024
Liverpool,30,38.0,80,781,263,33.7,20.55,6.92,0.09,0.28,17.2,6,9,2023-2024
Luton Town,28,38.0,49,427,134,31.4,11.24,3.53,0.1,0.33,16.3,5,5,2023-2024
Manchester City,25,38.0,94,683,264,38.7,17.97,6.95,0.12,0.32,17.1,9,10,2023-2024
Manchester Utd,31,38.0,57,543,182,33.5,14.29,4.79,0.09,0.28,17.4,6,7,2023-2024
Newcastle Utd,32,38.0,83,542,196,36.2,14.26,5.16,0.14,0.38,15.7,8,9,2023-2024
Nott'ham Forest,33,38.0,49,450,143,31.8,11.84,3.76,0.11,0.34,17.2,1,1,2023-2024
Sheffield Utd,35,38.0,31,360,117,32.5,9.47,3.08,0.07,0.22,17.4,5,5,2023-2024
Tottenham,29,38.0,69,582,207,35.6,15.32,5.45,0.12,0.32,16.5,2,2,2023-2024
West Ham,26,38.0,58,445,146,32.8,11.71,3.84,0.12,0.37,16.2,4,5,2023-2024
Wolves,27,38.0,47,425,153,36.0,11.18,4.03,0.1,0.28,16.7,4,4,2023-2024
Arsenal,25,38.0,67,544,178,32.7,14.32,4.68,0.12,0.37,15.1,2,2,2024-2025
Aston Villa,28,38.0,56,478,159,33.3,12.58,4.18,0.11,0.33,16.3,3,6,2024-2025
Bournemouth,29,38.0,57,574,192,33.4,15.11,5.05,0.09,0.27,16.7,6,7,2024-2025
Brentford,28,38.0,65,434,173,39.9,11.42,4.55,0.14,0.35,14.9,5,6,2024-2025
Brighton,32,38.0,64,526,183,34.8,13.84,4.82,0.11,0.31,17.2,7,7,2024-2025
Chelsea,29,38.0,61,590,203,34.4,15.53,5.34,0.1,0.28,16.7,4,5,2024-2025
Crystal Palace,29,38.0,49,512,175,34.2,13.47,4.61,0.09,0.26,16.8,3,4,2024-2025
Everton,26,38.0,39,404,139,34.4,10.63,3.66,0.09,0.27,16.8,2,2,2024-2025
Fulham,26,38.0,53,516,167,32.4,13.58,4.39,0.1,0.3,16.4,3,4,2024-2025
Ipswich Town,32,38.0,35,374,120,32.1,9.84,3.16,0.09,0.28,17.7,2,2,2024-2025
Leicester City,32,38.0,33,332,105,31.6,8.74,2.76,0.09,0.3,17.3,2,3,2024-2025
Liverpool,24,38.0,85,639,215,33.6,16.82,5.66,0.12,0.35,15.9,9,9,2024-2025
Manchester City,30,38.0,71,603,208,34.5,15.87,5.47,0.11,0.33,16.9,3,4,2024-2025
Manchester Utd,31,38.0,42,524,168,32.1,13.79,4.42,0.07,0.23,17.4,4,4,2024-2025
Newcastle Utd,24,38.0,66,519,163,31.4,13.66,4.29,0.12,0.37,15.9,5,6,2024-2025
Nott'ham Forest,23,38.0,57,460,162,35.2,12.11,4.26,0.12,0.33,17.5,3,3,2024-2025
Southampton,36,38.0,25,341,106,31.1,8.97,2.79,0.07,0.24,16.3,0,2,2024-2025
Tottenham,31,38.0,61,493,177,35.9,12.97,4.66,0.12,0.33,16.0,3,4,2024-2025
West Ham,27,38.0,43,473,137,29.0,12.45,3.61,0.08,0.29,16.3,3,3,2024-2025
Wolves,32,38.0,53,431,155,36.0,11.34,4.08,0.12,0.34,18.1,0,0,2024-2025
